Timestamp,Region,Table Name,ConsumedReadCapacityUnits (Sum),ProvisionedReadCapacityUnits (Average),ConsumedWriteCapacityUnits (Sum),ProvisionedWriteCapacityUnits (Average),read_utilization,write_utilization
2025-02-19 00:00:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 00:05:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 00:10:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 00:15:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 00:20:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 00:25:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 00:30:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 00:35:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 00:40:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 00:45:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 00:50:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 00:55:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 01:00:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 01:05:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 01:10:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 01:15:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 01:20:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 01:25:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 01:30:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 01:35:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 01:40:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 01:45:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 01:50:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 01:55:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 02:00:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 02:05:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 02:10:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
2025-02-19 02:15:00+00:00,us-east-1,Table-Acccount-A,0.0,5.0,0.0,5.0,0.0,0.0
